"participant_id","condition","questions_attempted","num_correct","accuracy","speed_q_per_s","speed_q_per_min","mean_response_time_ms","median_response_time_ms"
"P-08181256-2291-4bdf-9b08-e656799b0ff8","gain",13,8,0.615384615384615,0.108333333333333,6.5,NA,NA
"P-1620cbb1-d740-4c48-98fc-cffb003b0a37","gain",12,12,1,0.1,6,NA,NA
"P-459b8e5e-f2c8-426e-ae02-e86e1475a100","gain",17,16,0.941176470588235,0.141666666666667,8.5,NA,NA
"P-65b306ef-0adf-4bb0-94f9-8c89766db8ff","gain",16,16,1,0.133333333333333,8,NA,NA
"P-85b5daa4-6a21-49b3-9f5b-bf4ccc3ed222","gain",9,6,0.666666666666667,0.075,4.5,NA,NA
"P-94f28a47-99d6-45a1-a8c6-0837125699f8","gain",15,12,0.8,0.125,7.5,NA,NA
"P-a37d6538-6106-409a-9c1b-336f25557531","gain",23,21,0.91304347826087,0.191666666666667,11.5,NA,NA
"P-bf1cb694-54fc-471c-9a6c-9a53e40f2132","gain",17,17,1,0.141666666666667,8.5,NA,NA
"P-c791b1cc-efa5-4f1e-9009-d05f71f8efa7","gain",14,13,0.928571428571429,0.116666666666667,7,NA,NA
"P-e33059f4-e338-4fed-b89b-4e82c4ebb16f","gain",13,8,0.615384615384615,0.108333333333333,6.5,NA,NA
"P-f73e0ada-40cf-4ad5-b34e-b49b41d4754c","gain",19,18,0.947368421052632,0.158333333333333,9.5,NA,NA
"P-fe09c047-5322-4a45-b0cc-83a06b671991","gain",17,16,0.941176470588235,0.141666666666667,8.5,NA,NA
"P-0026314f-3842-4a6a-802b-07132376a9ba","loss",12,10,0.833333333333333,0.1,6,NA,NA
"P-3ad812f2-0673-4185-bc5c-cb3c5a1d3d6f","loss",22,22,1,0.183333333333333,11,NA,NA
"P-409fdace-088e-4d3c-8374-ffa810edb1fa","loss",22,20,0.909090909090909,0.183333333333333,11,NA,NA
"P-59f70648-799e-4a5c-b308-fa8570ccebcd","loss",21,20,0.952380952380952,0.175,10.5,NA,NA
"P-5cc5250c-4429-4ea3-b4a1-f68238a85391","loss",19,19,1,0.158333333333333,9.5,NA,NA
"P-658a8f20-3a14-43e7-b109-823357af7259","loss",15,13,0.866666666666667,0.125,7.5,NA,NA
"P-6dacdf92-31fc-4c31-b889-dbeb8f90c22e","loss",15,10,0.666666666666667,0.125,7.5,NA,NA
"P-8ac805b1-28d4-47d6-a13f-329469e4e479","loss",10,9,0.9,0.0833333333333333,5,NA,NA
"P-a5b2619a-d936-42a3-a20c-de2fbe90d012","loss",30,29,0.966666666666667,0.25,15,NA,NA
"P-ac324a1a-4cf9-4e43-96ea-e6eddf777b9a","loss",11,7,0.636363636363636,0.0916666666666667,5.5,NA,NA
"P-ad5d3153-a486-4f3c-a868-35c3af285c08","loss",14,11,0.785714285714286,0.116666666666667,7,NA,NA
"P-c97d184a-fcb7-4861-8ed2-7e848f1a0f3c","loss",20,17,0.85,0.166666666666667,10,NA,NA
